industryID,reminderType,dueDate,dueStatus,recievedDate,applicationID,nxtRemDate,officeID
600,1,2017-04-10,0,NULL,596,NULL,NULL
601,1,2017-04-10,0,NULL,597,NULL,NULL
602,1,2015-07-16,0,NULL,679,NULL,NULL
603,1,2017-03-14,0,NULL,599,NULL,NULL
604,1,2017-06-16,0,NULL,600,NULL,NULL
605,1,2015-07-24,0,NULL,24327,NULL,6
606,1,2017-06-18,0,NULL,602,NULL,NULL
607,1,2017-06-19,0,NULL,603,NULL,NULL
608,1,2017-05-20,0,NULL,604,NULL,NULL
609,1,2017-04-21,0,NULL,605,NULL,NULL
610,1,2017-05-05,0,NULL,606,NULL,NULL
611,1,2017-03-31,0,NULL,607,NULL,NULL
612,1,2017-09-07,0,NULL,22591,NULL,6
613,1,2017-03-31,0,NULL,609,NULL,NULL
614,1,2017-12-28,0,NULL,24090,NULL,6
615,1,2017-06-25,0,NULL,611,NULL,NULL
616,1,2018-02-03,0,NULL,23145,NULL,6
617,1,2017-03-21,0,NULL,613,NULL,NULL
618,1,2016-06-09,0,NULL,614,NULL,6
